time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.623876,0.9287,0.0817,0.9374,1.322
0.630461,0.9054,0.1016,0.9550,1.320
0.633402,0.9014,0.1224,0.8905,1.273
0.638748,0.8160,0.1824,0.8254,1.175
0.646079,0.7691,0.2623,0.7360,1.096
0.650036,0.7654,0.3524,0.7565,1.132
0.653249,0.7713,0.4333,0.8246,1.209
0.657421,0.8538,0.4810,0.8304,1.284
0.663616,0.8644,0.5050,0.8791,1.332
0.668251,0.8558,0.5098,0.9323,1.364
0.673531,0.9380,0.4573,1.0711,1.495
0.678175,0.9292,0.3904,1.1283,1.513
0.683340,0.8917,0.3283,1.1949,1.527
0.688985,0.9068,0.2995,1.2519,1.575
0.693233,0.8310,0.2851,1.2658,1.541
0.698790,0.7792,0.2468,1.2365,1.482
0.703220,0.6556,0.2134,1.1689,1.357
0.708707,0.5753,0.1562,1.1538,1.299
0.714299,0.5812,0.1089,1.1097,1.257
0.720673,0.5009,0.0860,1.0653,1.180
0.723261,0.4733,0.0300,1.0300,1.134
0.729318,0.4123,-0.0158,1.0325,1.112
0.733432,0.3656,-0.0467,1.0819,1.143
0.738959,0.3236,0.0089,1.1256,1.171
0.744809,0.3149,0.0312,1.1680,1.210
0.751403,0.2535,0.0920,1.1421,1.173
0.752848,0.2158,0.1530,1.0577,1.090
0.758668,0.2547,0.1998,1.0107,1.061
0.762844,0.3365,0.2324,0.9012,0.990
0.768205,0.3512,0.2942,0.7628,0.890
0.772980,0.3851,0.3182,0.5911,0.774
0.778325,0.3567,0.3521,0.4384,0.666
0.787619,0.4192,0.2956,0.1847,0.545
0.790982,0.5103,0.2349,0.1124,0.573
0.794166,0.5104,0.1511,0.0444,0.534
0.799606,0.5115,0.1914,0.0333,0.547
0.803260,0.3227,0.1986,0.3167,0.494
0.812597,-0.1449,0.2531,0.7781,0.831
0.814307,-0.5423,0.2728,1.0834,1.242
0.821036,-0.6085,0.3152,0.7556,1.020
0.823914,-0.7637,0.4426,-0.0407,0.884
0.829239,-1.3015,0.8488,-0.3212,1.587
0.834481,-1.7132,1.0059,-0.1737,1.994
0.840563,-2.0379,1.0225,0.2497,2.294
0.845939,-2.2425,0.8890,0.5361,2.471
0.848922,-2.4179,0.7156,0.5224,2.575
0.854492,-2.5165,0.6219,0.5537,2.651
0.858835,-2.5480,0.5362,0.7393,2.707
0.863620,-2.3930,0.3201,0.9060,2.579
0.869086,-2.0230,0.0943,1.0152,2.265
0.874577,-1.7252,-0.0159,1.0331,2.011
0.880103,-1.6288,0.0181,0.8783,1.851
0.884385,-1.5851,0.0717,0.4647,1.653
0.888843,-1.5034,0.0783,0.0508,1.506
0.894671,-1.4793,0.0957,-0.2684,1.506
0.898984,-1.4745,0.1098,-0.5508,1.578
0.905025,-1.5225,0.1922,-0.8346,1.747
0.911078,-1.6135,0.1944,-1.1431,1.987
0.915073,-1.7906,0.0685,-1.2656,2.194
0.918547,-2.0775,-0.0372,-1.2975,2.450
0.925383,-2.3784,-0.0606,-1.4059,2.763
0.930685,-2.6068,-0.0360,-1.5701,3.043
0.934671,-2.7103,-0.0686,-1.5838,3.140
0.940341,-2.7415,-0.1055,-1.3703,3.067
0.947401,-2.7818,-0.0992,-1.1406,3.008
0.952038,-2.7885,-0.1263,-0.9907,2.962
0.952797,-2.6944,-0.2637,-0.9778,2.878
0.957663,-2.5332,-0.4063,-1.0342,2.766
0.963358,-2.1041,-0.3626,-0.9308,2.329
0.969864,-1.8143,-0.4339,-1.0084,2.121
0.975976,-1.6158,-0.5003,-1.0373,1.984
0.980015,-1.3602,-0.4231,-0.9421,1.708
0.986148,-1.1292,-0.4845,-1.0068,1.589
0.990970,-0.8509,-0.6264,-1.0500,1.490
0.994146,-0.6834,-0.7960,-0.9381,1.407
0.998616,-0.4974,-0.6724,-0.7925,1.152
1.003150,-0.4891,-0.3957,-1.0656,1.237
1.009250,-0.1508,-0.5836,-0.8138,1.013
1.013361,-0.0717,-0.5032,-0.8806,1.017
1.018578,0.0359,-0.5237,-0.9719,1.105
1.024933,0.3873,-0.9699,-0.9012,1.379
1.031403,0.3268,-0.8312,-1.0219,1.357
1.034468,0.0560,-0.3771,-1.2455,1.303
1.039808,0.1782,-0.7131,-1.3422,1.530
1.047048,0.2764,-0.8425,-1.1795,1.476
1.049633,0.0348,-0.5937,-1.4035,1.524
1.055849,0.0377,-0.6325,-1.4387,1.572
1.060248,0.3327,-1.0199,-1.1905,1.603
1.064307,0.3306,-1.1039,-0.9238,1.477
1.069183,0.1611,-0.9331,-0.8819,1.294
1.074246,0.1211,-0.8334,-0.8018,1.163
1.080268,0.0380,-0.7764,-0.8605,1.160
1.086332,-0.0593,-0.6858,-0.7846,1.044
1.089623,-0.1278,-0.6146,-0.7133,0.950
1.095563,-0.2347,-0.5535,-0.6422,0.880
1.099159,-0.3415,-0.5600,-0.5715,0.870
1.105272,-0.4101,-0.6055,-0.5779,0.932
1.110600,-0.0768,-1.6174,-0.5800,1.720
1.114110,-0.9737,-0.2594,-0.8887,1.344
1.120375,-1.2812,0.9156,-1.6169,2.257
1.123731,-0.3630,-0.7937,-1.4825,1.720
1.129350,-0.6183,0.2864,-1.1147,1.306
1.134369,-0.1696,-0.7839,-0.9958,1.279
1.139827,-1.1802,-0.1710,-0.5161,1.299
1.148585,-0.9507,-0.5282,-0.2622,1.119
1.150672,-0.5689,-0.4938,-0.0325,0.754
1.154348,-0.3744,-0.4014,-0.1507,0.569
1.158554,-0.2138,-0.7191,-0.0075,0.750
1.164996,-0.2069,-0.3227,0.0200,0.384
1.170235,-0.1524,-0.4004,-0.5298,0.681
1.175011,0.0072,-0.6300,-0.1672,0.652
1.180470,0.0803,-0.6091,0.0377,0.616
1.185075,0.1867,-0.6060,0.1086,0.643
1.190056,0.2735,-0.5829,-0.0069,0.644
1.196725,0.3983,-0.5692,-0.1167,0.704
1.198745,0.6041,-0.7371,-0.1665,0.967
1.203915,0.6709,-0.8280,-0.3083,1.109
1.211198,0.5796,-0.8517,-0.3785,1.098
1.217386,0.4932,-0.7509,-0.6743,1.123
1.220043,0.4977,-0.6361,-1.0614,1.334
1.225120,0.4878,-0.4457,-1.3195,1.476
1.230748,0.6069,-0.3192,-1.4636,1.616
1.237575,0.7975,-0.3138,-1.4990,1.727
1.239867,0.9877,-0.3620,-1.3015,1.674
1.247933,1.1249,-0.3200,-1.0531,1.574
1.249377,1.2379,-0.3646,-0.8157,1.527
1.253946,1.2981,-0.3808,-0.6703,1.510
1.258955,1.3868,-0.5170,-0.5256,1.571
1.264581,1.4370,-0.5908,-0.4626,1.621
1.270221,1.3724,-0.5735,-0.3369,1.525
1.275296,1.3223,-0.5181,-0.2828,1.448
1.279222,1.3726,-0.4818,-0.2239,1.472
1.284490,1.3798,-0.4169,-0.2084,1.456
1.295176,1.3870,-0.3616,-0.1355,1.440
1.295969,1.3940,-0.3448,-0.0538,1.437
1.299932,1.4297,-0.2997,0.1080,1.465
1.303732,1.4556,-0.2357,0.1770,1.485
1.309842,1.4860,-0.1770,0.1010,1.500
1.315011,1.4302,-0.1428,-0.0092,1.437
1.320707,1.3409,-0.0853,-0.2963,1.376
1.325050,1.2662,-0.1005,-0.4860,1.360
1.330096,1.0910,0.0079,-0.6932,1.293
1.338819,1.1555,-0.1718,-0.9799,1.525
1.339568,1.1673,-0.2222,-1.0353,1.576
1.347439,1.2031,-0.1960,-1.1085,1.648
1.350401,1.3634,-0.1891,-1.2517,1.861
1.353810,1.4662,-0.2441,-1.4744,2.094
1.358336,1.5021,-0.3225,-1.6090,2.225
1.365112,1.4520,-0.3335,-1.6080,2.192
1.372031,1.3732,-0.3062,-1.3956,1.982
1.375243,1.2036,-0.2219,-1.2123,1.723
1.381041,1.0438,-0.0906,-1.0916,1.513
1.383940,1.0181,-0.1471,-1.0283,1.454
1.390690,1.0069,-0.3333,-0.8973,1.389
1.394924,0.9383,-0.4047,-0.7848,1.289
1.399585,0.8364,-0.4383,-0.7003,1.176
1.404489,0.7826,-0.4815,-0.6390,1.119
1.410786,0.7575,-0.4910,-0.6201,1.095
1.414563,0.6513,-0.3905,-0.6437,0.995
1.418826,0.4112,-0.2856,-0.7148,0.873
1.425176,0.5350,-0.3725,-0.7233,0.974
1.432522,0.8598,-0.9992,-0.9371,1.617
1.436329,0.3995,-0.5612,-0.3420,0.769
1.440273,-0.1083,0.2824,-0.9451,0.992
1.444427,0.2507,-0.1245,-1.2693,1.300
1.449334,0.6573,-0.5881,-1.0034,1.336
1.455680,0.6757,-0.6437,-0.4982,1.058
1.460989,0.5602,-0.6605,-0.3100,0.920
1.465719,0.4974,-0.6769,-0.2758,0.884
1.470618,0.3915,-0.6023,-0.2853,0.773
1.474787,0.3479,-0.5184,-0.3955,0.739
1.479269,0.3858,-0.5355,-0.4433,0.795
1.484746,0.4666,-0.6389,-0.4910,0.931
1.490965,0.6048,-0.8520,-0.4814,1.150
1.494484,1.8769,-3.0343,-0.1275,3.570
1.499929,0.4389,-1.5345,0.5196,1.678
1.505559,-0.8490,0.3026,-0.3508,0.967
1.511366,-1.2883,0.8288,-0.8797,1.767
1.515220,-0.8850,0.7916,-1.2399,1.717
1.518790,0.0923,-0.0286,-1.3341,1.338
1.524710,0.5133,-0.7775,-0.5703,1.092
1.530008,0.3453,-1.0471,-0.4865,1.205
1.534477,-0.1381,-0.7751,-0.7262,1.071
1.539690,-0.3863,-0.5649,-0.8104,1.061
1.544803,-0.4856,-0.4786,-0.8254,1.071
1.549438,-0.4793,-0.4637,-0.7086,0.973
1.554351,-0.3913,-0.5010,-0.5553,0.844
