time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.620105,-0.1062,0.0710,0.0425,0.135
0.623972,-0.1100,0.0652,0.0778,0.150
0.631117,-0.0901,0.0307,0.1173,0.151
0.634016,-0.0750,0.0203,0.1799,0.196
0.639309,-0.0173,0.0004,0.1893,0.190
0.644347,-0.0267,-0.0050,0.1415,0.144
0.649825,-0.0407,-0.0057,0.1604,0.166
0.653240,-0.0451,0.0031,0.1218,0.130
0.658732,-0.0447,0.0164,0.0454,0.066
0.665386,0.0127,-0.0227,-0.0165,0.031
0.668599,0.0363,-0.0329,-0.0545,0.073
0.673728,0.0550,-0.0336,-0.0495,0.081
0.679015,0.0592,-0.0247,-0.0210,0.068
0.683810,0.0492,0.0268,-0.0452,0.072
0.691371,0.0250,0.0206,-0.0927,0.098
0.693679,0.0438,0.0241,-0.0921,0.105
0.699536,0.0767,0.0227,-0.0962,0.125
0.703832,0.0903,0.0264,-0.1663,0.191
0.709881,0.0705,0.0300,-0.1880,0.203
0.716893,0.0604,0.0195,-0.1239,0.139
0.720867,0.0694,0.0234,-0.0650,0.098
0.725627,0.0736,0.0227,-0.0158,0.079
0.729212,0.0636,0.0080,0.0378,0.074
0.732822,0.0536,-0.0207,0.0911,0.108
0.738966,0.0104,-0.0061,0.0680,0.069
0.744110,-0.0419,-0.0011,0.0310,0.052
0.750908,-0.1033,-0.0057,0.0182,0.105
0.755034,-0.1403,-0.0054,0.0579,0.152
0.759066,-0.1296,-0.0147,0.0498,0.140
0.763571,-0.1142,0.0000,0.0041,0.114
0.771317,-0.0942,-0.0330,0.0019,0.100
0.772970,-0.0790,-0.0705,-0.0047,0.106
0.778477,-0.0545,-0.1123,0.0367,0.130
0.783671,-0.0160,-0.1109,0.1110,0.158
0.789561,0.0080,-0.0906,0.2130,0.232
0.793962,0.0555,-0.1084,0.2235,0.255
0.798836,0.0647,-0.1024,0.1767,0.214
0.804386,0.0737,-0.0869,0.1445,0.184
0.809216,0.0827,-0.1285,0.0889,0.177
0.813344,0.0631,-0.1126,0.0672,0.146
0.818165,0.0531,-0.1300,0.0647,0.155
0.824192,0.0195,-0.1140,0.0527,0.127
0.829569,0.0147,-0.0885,0.0267,0.094
0.833035,-0.0139,-0.0869,0.0199,0.090
0.838836,-0.0374,-0.0615,-0.0056,0.072
0.845165,-0.0322,-0.0269,0.0357,0.055
0.849810,-0.0176,-0.0071,0.0907,0.093
0.855193,-0.0127,0.0077,0.1213,0.122
0.859364,0.0160,0.0080,0.1609,0.162
0.864331,0.0254,0.0176,0.1810,0.184
0.869940,0.0253,0.0415,0.1912,0.197
0.875086,0.0441,0.0364,0.1820,0.191
0.880739,0.0343,0.0125,0.1395,0.144
0.884264,0.0246,-0.0113,0.0977,0.101
0.889975,0.0197,-0.0444,0.0468,0.067
0.894490,-0.0042,-0.0486,0.0297,0.057
0.898759,-0.0326,-0.0526,-0.0155,0.064
0.904434,-0.0227,-0.0851,0.0162,0.090
0.915088,0.0013,-0.0745,0.0717,0.103
0.915726,0.0394,-0.0593,0.1316,0.150
0.918893,0.0581,-0.0678,0.1861,0.206
0.923792,0.0815,-0.1094,0.2162,0.256
0.929630,0.0951,-0.1031,0.2409,0.279
0.934740,0.0469,-0.0731,0.2461,0.261
0.939513,0.0133,-0.0341,0.2223,0.225
0.949925,0.0037,-0.0192,0.1887,0.190
0.951210,-0.0153,-0.0139,0.1266,0.128
0.955266,-0.0294,-0.0089,0.0459,0.055
0.958493,-0.0434,-0.0182,-0.0908,0.102
0.973629,-0.0525,-0.0178,-0.1639,0.173
0.974759,-0.0662,0.0015,-0.1788,0.191
0.975093,-0.0418,-0.0078,-0.1264,0.133
0.978866,0.0014,-0.0218,-0.0598,0.064
0.983927,0.0490,0.0026,0.0256,0.055
0.988391,0.0771,-0.0016,0.1243,0.146
0.994243,0.1051,0.0087,0.1789,0.208
0.999180,0.1328,0.0380,0.2183,0.258
1.003607,0.1317,0.0719,0.2234,0.269
1.010075,0.1402,0.0723,0.2704,0.313
1.015128,0.0820,0.0584,0.2259,0.247
