time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.592229,1.1297,-0.1904,2.0905,2.384
0.593195,1.5030,-0.1045,2.0907,2.577
0.595771,1.8227,-0.1290,2.1759,2.841
0.607257,1.9163,-0.1589,2.1879,2.913
0.609225,1.7265,-0.2327,2.1985,2.805
0.610272,1.3857,-0.2930,1.8768,2.351
0.622865,0.8594,-0.3547,1.3234,1.617
0.624030,0.3185,-0.3994,0.7558,0.912
0.624622,-0.3535,-0.2726,0.1581,0.474
0.628524,-0.9532,-0.1831,-0.2212,0.995
0.633331,-1.4735,0.0263,-0.4568,1.543
0.638411,-1.8474,0.2500,-0.4341,1.914
0.642855,-1.8387,0.2704,-0.1419,1.864
0.648067,-1.5384,0.1436,0.1782,1.555
0.652836,-1.1670,0.1141,0.3038,1.211
0.657015,-0.7842,0.1889,0.4837,0.941
0.661827,-0.4021,0.2493,0.4164,0.630
0.671394,0.0238,0.1832,0.5531,0.583
0.672385,0.2750,0.0702,0.7390,0.792
0.676256,0.4851,-0.0102,0.8111,0.945
0.687577,0.5921,-0.1153,0.6888,0.916
0.688372,0.4865,-0.0565,0.5708,0.752
0.690546,0.3981,-0.0710,0.3979,0.567
0.694776,0.2724,-0.1011,0.2518,0.385
0.699480,0.1983,-0.1900,0.0424,0.278
0.704367,0.1567,-0.1224,0.0734,0.212
0.708919,-0.0654,-0.0112,0.0981,0.118
0.714306,-0.1972,-0.0455,0.0738,0.215
0.718978,-0.3625,-0.1058,-0.0346,0.379
0.723916,-0.4794,-0.0585,-0.1381,0.502
0.728469,-0.8396,0.1338,-0.1459,0.863
0.733449,-1.0889,0.2910,0.0327,1.128
0.737809,-1.2281,0.3837,0.3963,1.346
0.742632,-1.3129,0.2633,0.6886,1.506
0.747995,-1.3024,0.2410,0.7302,1.512
0.752362,-1.3780,0.2089,0.5675,1.505
0.757241,-1.5866,0.1549,0.3807,1.639
0.762613,-1.6479,0.1725,0.2538,1.676
0.775035,-1.5930,0.1903,0.1412,1.611
0.776199,-1.4010,0.1871,0.1599,1.422
0.776816,-1.1726,0.2397,0.2639,1.226
0.788832,-0.9369,0.2192,0.3549,1.026
0.790150,-0.7439,0.1712,0.3780,0.852
0.790658,-0.6104,0.1577,0.4788,0.792
0.796859,-0.4412,0.1308,0.5830,0.743
0.799517,-0.4109,0.0832,0.6760,0.795
0.804599,-0.2878,0.0819,0.7288,0.788
0.808724,-0.1682,-0.0237,0.8320,0.849
0.813660,-0.0900,-0.2310,0.7944,0.832
0.818636,-0.0402,-0.3483,0.4450,0.567
0.823011,-0.1891,-0.3685,-0.0378,0.416
0.827696,-0.2653,-0.2008,-0.4167,0.533
0.833366,-0.3078,-0.1985,-0.6729,0.766
0.837293,-0.3778,-0.2152,-0.6690,0.798
0.842448,-0.4814,-0.1700,-0.5138,0.724
0.846613,-0.6003,-0.0489,-0.3015,0.674
0.851539,-0.4926,0.0185,-0.1919,0.529
0.855935,-0.3893,-0.0108,-0.1628,0.422
0.872146,-0.3611,0.0734,-0.1704,0.406
0.874023,-0.2960,-0.0518,0.0385,0.303
0.874658,-0.2310,-0.2597,0.4270,0.551
0.875505,-0.0882,-0.3636,0.6979,0.792
0.891045,-0.0494,-0.4522,0.8107,0.930
0.892031,0.0243,-0.4517,0.9140,1.020
0.892537,0.0191,-0.5441,0.7857,0.956
0.893832,0.1348,-0.5806,0.4057,0.721
0.898526,0.2121,-0.5845,0.0280,0.622
0.903474,0.3292,-0.6076,-0.0823,0.696
0.908187,0.5032,-0.5829,0.2098,0.798
0.913238,0.7990,-0.6323,0.6087,1.187
0.918693,1.1553,-0.6813,0.8840,1.606
0.923311,1.4596,-0.7659,0.8711,1.864
0.930035,1.6736,-0.9387,0.6946,2.041
0.932153,1.7188,-0.8811,0.3814,1.969
0.936471,1.6148,-1.0238,0.0801,1.914
0.941495,1.2286,-1.3192,-0.2663,1.822
0.947107,0.6050,-1.4388,-0.7864,1.748
0.952006,0.1711,-1.4034,-1.2424,1.882
0.956743,-0.1608,-1.1218,-1.4741,1.859
0.969345,-0.5109,-0.7545,-1.6508,1.886
0.970848,-1.0303,-0.5417,-1.6213,1.996
0.971376,-1.4573,-0.3814,-1.1371,1.887
0.974575,-1.6922,-0.2561,-0.3186,1.741
0.985170,-1.6729,-0.0227,0.3999,1.720
0.986379,-1.5672,0.2394,0.9700,1.859
0.989166,-1.2741,0.2454,1.3696,1.887
0.994866,-0.7965,-0.0241,1.5392,1.733
0.998088,-0.3922,-0.3039,1.3837,1.470
1.002839,-0.2547,-0.5754,1.2312,1.383
1.007369,-0.3240,-0.8826,1.2826,1.590
1.012752,-0.4780,-1.0455,1.1288,1.611
1.018036,-0.6876,-0.9295,0.7103,1.357
1.022823,-0.8212,-0.7199,0.2380,1.118
1.028977,-0.8145,-0.7814,-0.0920,1.133
1.032698,-0.7783,-0.9644,-0.2753,1.269
1.036224,-0.8110,-1.0786,-0.4221,1.414
1.040872,-0.7531,-1.0732,-0.3989,1.370
1.045785,-0.6121,-1.1132,-0.3255,1.311
1.051776,-0.3091,-1.1557,-0.2519,1.223
1.055370,0.0607,-1.1462,-0.1518,1.158
1.072754,0.3403,-1.1379,-0.1037,1.192
1.074807,0.5472,-1.1478,-0.1769,1.284
1.075750,0.6672,-1.0755,-0.2371,1.288
1.076486,0.7345,-1.0480,-0.3131,1.318
1.092892,0.9361,-1.0775,-0.2947,1.457
1.094518,1.0804,-1.0402,-0.2729,1.524
1.095299,1.1243,-1.1521,-0.1687,1.619
1.096076,0.7927,-1.4619,-0.0826,1.665
1.097908,0.4523,-1.6559,-0.1748,1.725
1.103086,0.2218,-1.7191,-0.4067,1.780
1.108020,0.0165,-1.6555,-0.6895,1.793
1.113962,-0.1451,-1.6006,-0.9586,1.871
1.117389,-0.1659,-1.6777,-1.2046,2.072
