time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.580201,-0.2268,-0.3674,-0.0992,0.443
0.586241,-0.2075,-0.3576,-0.0968,0.425
0.592277,-0.2172,-0.1519,-0.3264,0.420
0.595449,-0.2091,-0.0107,-0.2808,0.350
0.598645,-0.1158,-0.0965,0.0372,0.155
0.605845,0.0261,-0.2011,0.1613,0.259
0.611967,0.1944,-0.2358,0.1730,0.351
0.614103,0.3265,-0.2462,0.2134,0.461
0.618697,0.3936,-0.0860,0.0914,0.413
0.623474,0.4866,0.1034,0.0365,0.499
0.634816,0.6061,0.2218,-0.0709,0.649
0.636627,0.7883,0.3151,-0.0994,0.855
0.638213,0.8809,0.3420,-0.1184,0.952
0.641554,0.9196,0.4624,0.0779,1.032
0.653479,0.7179,0.4366,0.3863,0.925
0.654245,0.4533,0.5083,0.6109,0.915
0.655088,0.1139,0.5814,0.8353,1.024
0.660137,-0.3013,0.7802,0.7799,1.144
0.665754,-0.5336,0.8750,0.7701,1.282
0.669969,-0.7253,0.9570,0.5164,1.307
0.676308,-0.8416,1.0813,0.1698,1.381
0.680887,-0.7775,0.6602,0.0721,1.023
0.687849,-0.7077,0.2808,-0.1167,0.770
0.692113,-0.7015,0.0441,-0.3558,0.788
0.695335,-0.7232,0.0099,-0.5926,0.935
0.698246,-0.6587,-0.0491,-0.6908,0.956
0.705526,-0.5448,-0.0704,-0.7032,0.892
0.716936,-0.5135,0.0007,-0.8091,0.958
0.718182,-0.3767,-0.0677,-0.8601,0.941
0.719451,-0.2141,-0.0983,-0.8349,0.867
0.725027,-0.0480,-0.1751,-0.8337,0.853
0.732673,0.1024,-0.1547,-0.8065,0.828
0.733355,0.1627,-0.1450,-0.7554,0.786
0.736705,0.3032,-0.1154,-0.7117,0.782
0.742202,0.3732,-0.0137,-0.6202,0.724
0.746110,0.4783,0.0138,-0.5168,0.704
0.751097,0.4370,0.0888,-0.3656,0.577
0.754890,0.3909,0.0651,-0.1260,0.416
0.760835,0.3356,0.1336,0.0369,0.363
0.773925,0.2878,0.1482,0.1903,0.375
0.774652,0.3070,0.1158,0.4131,0.528
0.775441,0.3761,0.1751,0.5331,0.676
0.780323,0.4373,0.1390,0.6940,0.832
0.784548,0.4504,0.1657,0.7116,0.858
0.789703,0.4549,0.2473,0.6316,0.817
0.794616,0.2664,0.6887,0.2654,0.785
0.799637,0.4362,0.4166,0.2372,0.648
0.803870,0.5771,-0.0477,0.4294,0.721
0.816153,0.4979,-0.2201,0.3082,0.626
0.817671,0.3686,-0.3846,0.2039,0.570
0.819683,0.2321,-0.4929,0.1594,0.568
0.822089,0.0877,-0.5759,0.1482,0.601
0.832568,0.0071,-0.6072,0.0843,0.613
0.833523,-0.1456,-0.6036,-0.0227,0.621
0.836491,-0.3124,-0.5294,-0.1944,0.645
0.839976,-0.3611,-0.4921,-0.3326,0.695
0.844752,-0.4586,-0.3725,-0.4850,0.764
0.849350,-0.5111,-0.1350,-0.6040,0.803
0.855056,-0.6073,0.0740,-0.6367,0.883
0.864132,-0.6517,0.1849,-0.5689,0.885
0.865532,-0.5973,0.1905,-0.4533,0.774
0.868449,-0.5711,0.2580,-0.3282,0.707
0.875055,-0.5040,0.3202,-0.1911,0.627
0.879351,-0.5803,0.3986,-0.1664,0.723
0.883845,-0.5031,0.4312,-0.1201,0.673
0.888330,-0.3349,0.3681,-0.1527,0.521
0.894309,-0.2309,0.3318,-0.2066,0.454
0.897711,-0.1524,0.3200,-0.2366,0.426
0.901588,-0.1328,0.3161,-0.2499,0.424
0.912771,-0.1292,0.3609,-0.1770,0.422
0.917692,-0.1256,0.3611,-0.0350,0.384
0.918613,-0.0890,0.4005,0.0877,0.420
0.920862,-0.0108,0.3043,0.2435,0.390
0.926805,-0.0107,0.2518,0.3274,0.413
0.931711,-0.0169,0.1423,0.4637,0.485
0.935538,0.0952,0.0518,0.5735,0.584
0.940518,0.1435,-0.0294,0.6833,0.699
0.945059,0.1807,-0.0135,0.7477,0.769
