time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.629437,0.0840,-0.0270,0.0101,0.089
0.633806,0.0833,-0.0034,0.0052,0.084
0.640128,0.0826,0.0057,-0.0138,0.084
0.645075,0.0631,0.0148,0.0006,0.065
0.649559,0.0439,0.0144,0.0148,0.048
0.653827,0.0249,0.0188,0.0290,0.043
0.662245,0.0061,0.0137,0.0287,0.032
0.664523,-0.0174,0.0228,0.0523,0.060
0.669873,-0.0218,0.0081,0.0613,0.066
0.674740,-0.0168,0.0125,0.0513,0.055
0.680077,0.0022,0.0025,0.0319,0.032
0.688446,0.0209,-0.0074,0.0079,0.024
0.689102,0.0202,-0.0078,-0.0017,0.022
0.696562,0.0432,-0.0320,-0.0349,0.064
0.699471,0.0658,-0.0276,-0.0536,0.089
0.705215,0.0836,-0.0279,-0.0769,0.117
0.708984,0.1157,-0.0519,-0.0858,0.153
0.714688,0.1381,-0.0424,-0.0945,0.173
0.718754,0.1702,-0.0471,-0.0985,0.202
0.725059,0.1881,-0.0327,-0.0882,0.210
0.729433,0.1776,-0.0327,-0.0589,0.190
0.734025,0.1722,-0.0041,-0.0394,0.177
0.739320,0.1480,0.0099,0.0275,0.151
0.745459,0.1239,0.0333,0.0510,0.138
0.749666,0.0904,0.0468,0.0696,0.123
0.755224,0.0760,0.0412,0.0643,0.108
0.760517,0.0521,0.0260,0.0638,0.086
0.765357,0.0426,0.0301,0.0442,0.068
0.771205,0.0330,0.0197,0.0106,0.040
0.774142,0.0234,0.0049,-0.0037,0.024
0.780243,0.0378,-0.0049,-0.0274,0.047
0.788530,0.0522,0.0139,-0.0272,0.060
0.790479,0.0427,0.0089,-0.0269,0.051
0.796287,0.0524,0.0136,-0.0077,0.055
0.801446,0.0620,0.0087,0.0161,0.065
0.804832,0.0762,0.0038,0.0255,0.080
0.809135,0.0758,-0.0010,0.0300,0.082
0.815217,0.0848,0.0036,0.0488,0.098
0.820226,0.0746,-0.0063,0.0484,0.089
0.825379,0.0641,0.0219,0.0670,0.095
0.828987,0.0632,0.0354,0.0569,0.092
0.834967,0.0477,0.0156,0.0422,0.066
0.839933,0.0323,0.0243,0.0371,0.055
0.844490,0.0265,0.0329,0.0083,0.043
0.849295,0.0304,0.0319,-0.0107,0.045
0.855043,0.0248,0.0168,-0.0201,0.036
0.859315,0.0196,0.0161,-0.0580,0.063
0.865934,0.0194,-0.0129,-0.0765,0.080
0.869647,0.0052,-0.0082,-0.1091,0.110
0.874970,0.0057,0.0205,-0.1177,0.120
0.880052,0.0113,0.0303,-0.1262,0.130
0.890969,0.0220,0.0259,-0.1299,0.134
0.891821,0.0281,0.0170,-0.1288,0.133
0.894579,0.0488,0.0273,-0.1040,0.118
0.900039,0.0456,0.0376,-0.0794,0.099
0.905039,0.0522,0.0288,-0.0407,0.072
0.909308,0.0632,0.0532,0.0309,0.088
0.915133,0.0691,0.0676,0.0876,0.130
0.919503,0.0744,0.0819,0.1296,0.170
0.926727,0.0887,0.0908,0.1761,0.217
0.929918,0.0881,0.0995,0.1794,0.223
0.935058,0.1060,0.1031,0.1874,0.239
0.938915,0.1138,0.1065,0.1668,0.228
0.944360,0.1211,0.0956,0.1369,0.206
0.950054,0.1041,0.0800,0.0693,0.148
0.956545,0.1016,0.0646,0.0069,0.121
0.960388,0.0899,0.0449,-0.0644,0.119
0.966477,0.0786,0.0398,-0.1161,0.146
0.970751,0.0631,0.0209,-0.1484,0.163
0.974487,0.0291,0.0069,-0.1425,0.146
0.980037,0.0098,0.0121,-0.1413,0.142
0.988488,0.0052,-0.0017,-0.1496,0.150
0.990298,0.0057,-0.0060,-0.1199,0.120
0.996936,0.0113,-0.0056,-0.0999,0.101
0.999239,0.0171,-0.0245,-0.0895,0.094
1.005909,0.0325,-0.0196,-0.0413,0.056
1.012882,0.0669,-0.0434,-0.0219,0.083
1.018649,0.0963,-0.0245,-0.0027,0.099
1.022703,0.1304,-0.0249,0.0116,0.133
1.025821,0.1595,-0.0395,0.0305,0.167
1.030608,0.1886,-0.0587,0.0351,0.201
1.034198,0.2078,-0.0635,0.0396,0.221
1.039429,0.1936,-0.0586,0.0297,0.204
1.044242,0.1793,-0.0583,0.0153,0.189
1.049649,0.1364,-0.0578,0.0104,0.149
1.053913,0.1080,-0.0382,-0.0182,0.116
1.058912,0.0797,-0.0328,-0.0180,0.088
1.065118,0.0419,-0.0134,-0.0036,0.044
1.070339,0.0281,0.0155,0.0154,0.036
1.077915,0.0286,-0.0083,0.0200,0.036
1.079792,0.0194,-0.0036,0.0294,0.035
1.084483,0.0244,-0.0038,0.0671,0.072
1.091267,0.0245,-0.0232,0.1141,0.119
1.095653,0.0242,-0.0142,0.1322,0.135
1.104832,0.0378,-0.0244,0.1548,0.161
1.105372,0.0698,-0.0537,0.1631,0.185
1.110754,0.0870,-0.0877,0.1332,0.182
1.114444,0.1086,-0.1166,0.0894,0.183
1.119877,0.1394,-0.1216,0.0411,0.190
1.125589,0.1652,-0.1455,-0.0209,0.221
1.130261,0.1719,-0.1691,-0.0968,0.260
1.134481,0.1645,-0.1637,-0.1482,0.275
1.139372,0.1431,-0.1487,-0.1802,0.274
1.144572,0.1174,-0.1525,-0.1930,0.273
1.149178,0.0779,-0.1323,-0.1819,0.238
1.155112,0.0581,-0.1265,-0.1423,0.199
1.159637,0.0337,-0.1018,-0.0984,0.146
1.164784,0.0143,-0.0966,-0.0263,0.101
1.170032,0.0045,-0.0775,0.0309,0.084
1.176926,-0.0008,-0.0732,0.0735,0.104
1.179887,-0.0110,-0.0454,0.1014,0.112
1.184286,-0.0168,-0.0181,0.1053,0.108
1.190084,-0.0227,-0.0008,0.1283,0.130
1.199647,-0.0290,-0.0312,0.1035,0.112
1.200516,-0.0450,-0.0329,0.0599,0.082
1.204412,-0.0562,-0.0060,0.0119,0.058
1.209018,-0.0624,0.0019,-0.0452,0.077
1.215257,-0.0686,-0.0092,-0.0780,0.104
1.220129,-0.0885,-0.0151,-0.1201,0.150
1.225135,-0.0701,-0.0114,-0.1238,0.143
1.229576,-0.0703,-0.0313,-0.1180,0.141
1.234007,-0.0701,-0.0273,-0.1028,0.127
1.239351,-0.0317,-0.0328,-0.0781,0.090
1.244493,-0.0171,-0.0290,-0.0347,0.048
1.249394,0.0070,-0.0348,0.0227,0.042
1.255147,0.0356,-0.0075,0.0890,0.096
1.259509,0.0683,-0.0091,0.1596,0.174
1.264385,0.1048,0.0034,0.2343,0.257
1.269471,0.1257,0.0299,0.2989,0.326
1.274583,0.1502,0.0370,0.3488,0.382
1.280211,0.1543,0.0534,0.3744,0.408
1.287442,0.1476,0.0696,0.3713,0.406
1.290623,0.1590,0.0761,0.3350,0.379
1.294674,0.1361,0.0730,0.2800,0.320
1.299432,0.1174,0.0793,0.2113,0.254
1.304927,0.0794,0.0902,0.1526,0.194
1.310458,0.0414,0.0961,0.0706,0.126
1.315049,-0.0009,0.0970,0.0037,0.097
1.319652,-0.0234,0.1119,-0.0818,0.141
1.325159,-0.0262,0.1170,-0.1712,0.209
1.329784,-0.0425,0.1123,-0.2314,0.261
1.334281,-0.0528,0.1266,-0.2863,0.317
1.340235,-0.0761,0.1123,-0.3218,0.349
1.345689,-0.0646,0.1172,-0.3047,0.333
1.350581,-0.0046,0.1032,-0.3020,0.319
1.355824,0.0320,0.0943,-0.2709,0.289
1.360157,0.1164,0.0953,-0.2210,0.267
1.365901,0.1672,0.0636,-0.1621,0.241
1.371047,0.2176,0.0420,-0.0751,0.234
1.376057,0.2864,0.0258,-0.0032,0.288
1.380332,0.3402,0.0242,0.0777,0.350
1.385120,0.3835,0.0182,0.1293,0.405
1.390369,0.4114,0.0266,0.1426,0.436
1.395340,0.4196,0.0493,0.1462,0.447
1.403351,0.4081,0.0576,0.1213,0.430
1.406494,0.3773,0.0470,0.0681,0.386
1.413333,0.2990,0.0555,0.0058,0.304
1.415760,0.2260,0.0785,-0.0417,0.243
1.420045,0.1443,0.0776,-0.1031,0.194
1.425272,0.0824,0.0768,-0.1449,0.184
1.429767,0.0118,0.0951,-0.1531,0.181
1.435239,-0.0342,0.0751,-0.1661,0.185
1.439790,-0.0699,0.0741,-0.1551,0.186
1.445462,-0.0957,0.0539,-0.1443,0.181
1.450108,-0.1114,0.0481,-0.1335,0.180
1.454821,-0.1126,0.0373,-0.1228,0.171
1.459568,-0.1038,0.0311,-0.1122,0.156
1.465444,-0.0948,0.0107,-0.1112,0.147
1.471109,-0.0711,-0.0144,-0.0865,0.113
1.475352,-0.0472,-0.0062,-0.0572,0.074
1.480461,0.0104,-0.0075,-0.0139,0.019
1.486625,0.0869,-0.0515,0.0242,0.104
1.491110,0.1486,-0.0571,0.0526,0.168
1.495142,0.2193,-0.0768,0.0902,0.249
1.500575,0.2656,-0.1008,0.0942,0.299
1.505336,0.2590,-0.1103,0.0982,0.298
1.509495,0.2521,-0.1337,0.0879,0.299
1.514947,0.2163,-0.1330,0.0634,0.262
1.519905,0.1662,-0.1321,0.0249,0.214
1.525989,0.1255,-0.1264,-0.0133,0.179
1.530384,0.0705,-0.0920,-0.0274,0.119
1.535160,0.0204,-0.0816,-0.0699,0.109
1.540482,-0.0057,-0.0428,-0.0883,0.098
1.546035,-0.0221,-0.0422,-0.0923,0.104
1.551986,-0.0433,-0.0322,-0.0914,0.106
1.555629,-0.0546,-0.0127,-0.0621,0.084
1.561084,-0.0610,-0.0126,-0.0568,0.084
1.566483,-0.0624,-0.0029,-0.0231,0.067
1.570874,-0.0730,-0.0172,0.0057,0.075
1.576567,-0.0691,-0.0030,0.0104,0.070
1.580984,-0.0699,-0.0032,0.0198,0.073
1.585117,-0.0800,0.0013,0.0245,0.084
1.590058,-0.0662,-0.0133,0.0385,0.078
1.594744,-0.0810,0.0056,0.0382,0.090
1.603789,-0.0722,-0.0041,0.0475,0.086
1.607501,-0.0827,0.0052,0.0376,0.091
1.613495,-0.0744,0.0097,0.0468,0.088
1.615592,-0.0617,-0.0191,0.0417,0.077
1.620526,-0.0637,-0.0192,0.0272,0.072
1.625579,-0.0470,-0.0098,0.0318,0.058
1.630068,-0.0165,-0.0101,0.0269,0.033
1.635330,0.0230,-0.0152,0.0125,0.030
1.640534,0.0763,-0.0251,-0.0018,0.080
1.644771,0.1053,-0.0113,-0.0064,0.106
1.651134,0.1340,-0.0404,-0.0063,0.140
1.655088,0.1529,-0.0312,-0.0014,0.156
1.660170,0.1809,-0.0410,-0.0250,0.187
1.666133,0.1898,-0.0318,-0.0199,0.193
1.671281,0.2033,-0.0367,-0.0196,0.207
1.677421,0.1929,-0.0320,-0.0384,0.199
1.681239,0.1876,-0.0319,-0.0617,0.200
1.685950,0.1777,-0.0268,-0.0659,0.191
1.691233,0.1586,-0.0169,-0.0557,0.169
1.696185,0.1399,-0.0260,-0.0504,0.151
1.704462,0.1312,-0.0395,-0.0452,0.144
1.704979,0.1370,-0.0197,-0.0353,0.143
1.710195,0.1144,-0.0190,-0.0207,0.118
1.715551,0.1063,-0.0326,-0.0062,0.111
1.719942,0.1031,-0.0273,0.0034,0.107
1.726721,0.1000,-0.0269,0.0129,0.104
1.729683,0.0969,-0.0313,0.0271,0.105
1.734881,0.0890,-0.0215,0.0270,0.095
1.740185,0.0667,-0.0120,0.0126,0.069
1.744817,0.0636,-0.0168,0.0078,0.066
1.750699,0.0652,0.0022,-0.0017,0.065
1.756340,0.0477,-0.0074,-0.0016,0.048
1.760733,0.0255,0.0068,-0.0252,0.036
1.765881,0.0078,0.0166,-0.0819,0.084
1.770768,0.0281,0.0219,-0.0432,0.056
1.776631,0.0437,0.0037,-0.0427,0.061
1.780381,0.0879,0.0238,0.0099,0.092
1.785806,0.0892,0.0058,0.0241,0.093
1.791320,0.1047,-0.0023,0.0240,0.107
1.797430,0.1107,-0.0057,0.0381,0.117
1.805071,0.1118,-0.0137,0.0568,0.126
1.805601,0.1080,-0.0217,0.0801,0.136
1.811056,0.1327,-0.0392,0.1080,0.176
1.815806,0.1380,-0.0282,0.1309,0.192
1.820127,0.1527,-0.0555,0.1157,0.199
1.825923,0.1430,-0.0638,0.1101,0.191
1.831206,0.1523,-0.0769,0.1093,0.203
1.834831,0.1518,-0.0758,0.0752,0.186
1.840273,0.1224,-0.0795,0.0415,0.152
1.846192,0.1119,-0.0735,0.0128,0.135
1.850790,0.1207,-0.0912,-0.0014,0.151
1.855807,0.1104,-0.0802,-0.0107,0.137
1.859866,0.1147,-0.0502,-0.0438,0.133
1.865264,0.1097,-0.0537,-0.0385,0.128
1.870773,0.0766,-0.0287,-0.0381,0.090
1.876280,0.0771,-0.0134,-0.0661,0.102
1.880472,0.0637,0.0114,-0.0607,0.089
1.885036,0.0650,0.0074,-0.0649,0.092
1.890827,0.0664,0.0130,-0.0500,0.084
1.895609,0.0729,0.0327,-0.0495,0.094
1.902129,0.0842,0.0378,-0.0300,0.097
1.905332,0.0910,0.0380,-0.0154,0.100
1.910249,0.0835,0.0427,-0.0010,0.094
1.914936,0.0905,0.0378,-0.0199,0.100
1.920658,0.0926,0.0137,-0.0006,0.094
1.925260,0.0851,0.0231,0.0042,0.088
1.930932,0.1015,0.0180,0.0280,0.107
1.935061,0.0939,0.0131,0.0279,0.099
1.940625,0.0624,-0.0013,0.0325,0.070
1.945359,0.0547,-0.0059,0.0276,0.062
1.951278,0.0562,-0.0198,0.0560,0.082
1.956127,0.0622,-0.0048,0.0699,0.094
1.961675,0.0680,-0.0327,0.0789,0.109
1.966099,0.0735,-0.0175,0.0737,0.106
1.973068,0.0883,-0.0356,0.0922,0.133
1.975990,0.0886,-0.0585,0.0821,0.134
1.980964,0.1031,-0.0431,0.0721,0.133
1.985515,0.1080,-0.0423,0.0621,0.132
1.991523,0.1127,-0.0510,0.0190,0.125
1.997148,0.1177,-0.0265,-0.0095,0.121
2.004285,0.1179,-0.0307,-0.0377,0.128
2.005465,0.1089,-0.0255,-0.0468,0.121
2.010088,0.1145,-0.0249,-0.0652,0.134
2.016468,0.1060,0.0042,-0.0836,0.135
2.021294,0.1026,0.0095,-0.0970,0.142
2.025927,0.0899,0.0101,-0.0866,0.125
2.030629,0.0776,0.0252,-0.0858,0.118
2.035600,0.0846,0.0259,-0.0660,0.110
2.040692,0.0822,0.0267,-0.0511,0.100
2.046523,0.0752,0.0276,-0.0364,0.088
2.050689,0.0683,0.0285,-0.0076,0.074
2.056198,0.0758,0.0293,0.0163,0.083
2.061279,0.0834,0.0347,0.0305,0.095
2.066748,0.1005,0.0161,0.0160,0.103
2.072118,0.0891,0.0211,0.0207,0.094
2.076510,0.0969,0.0306,0.0110,0.102
2.082410,0.0858,0.0068,-0.0080,0.086
2.086504,0.0890,0.0305,-0.0222,0.097
2.091623,0.0876,0.0255,-0.0172,0.093
2.099803,0.0767,0.0158,-0.0123,0.079
2.101610,0.0851,0.0156,-0.0264,0.090
2.106408,0.0935,0.0201,-0.0309,0.100
2.110855,0.0970,0.0010,-0.0069,0.097
2.115945,0.0864,0.0153,0.0027,0.088
2.122344,0.0947,-0.0180,0.0170,0.098
2.125755,0.0839,0.0108,0.0264,0.089
2.131664,0.1015,-0.0035,0.0357,0.108
2.136819,0.0855,-0.0080,0.0449,0.097
2.141060,0.0744,-0.0174,0.0399,0.086
2.147275,0.0679,-0.0123,0.0396,0.080
2.151735,0.0615,-0.0121,0.0536,0.082
2.156938,0.0407,-0.0024,0.0437,0.060
2.162242,0.0534,-0.0071,0.0434,0.069
2.166677,0.0374,0.0072,0.0431,0.058
2.171986,0.0263,0.0071,0.0286,0.039
2.178050,0.0247,0.0070,0.0379,0.046
2.181386,0.0231,0.0022,0.0329,0.040
2.186932,0.0119,0.0116,0.0375,0.041
2.191260,0.0246,0.0352,0.0515,0.067
2.197572,0.0228,0.0348,0.0512,0.066
2.204078,0.0448,0.0202,0.0414,0.064
2.207071,0.0569,0.0248,0.0269,0.068
2.214215,0.0689,0.0246,0.0267,0.078
2.216104,0.0903,-0.0137,0.0171,0.093
2.221404,0.0974,-0.0136,-0.0067,0.099
2.226755,0.1188,-0.0137,-0.0303,0.123
2.231706,0.1259,-0.0137,-0.0442,0.134
2.236236,0.1333,-0.0232,-0.0675,0.151
2.241231,0.1315,-0.0326,-0.0764,0.156
2.247090,0.1158,-0.0324,-0.0900,0.150
2.251175,0.1242,-0.0370,-0.0750,0.150
2.256881,0.1091,-0.0273,-0.0649,0.130
2.261085,0.0801,-0.0367,-0.0501,0.101
2.268102,0.0704,-0.0364,-0.0307,0.085
2.270966,0.0467,-0.0029,-0.0067,0.047
2.276536,0.0468,-0.0173,-0.0019,0.050
2.282108,0.0375,-0.0029,0.0170,0.041
2.287545,0.0377,0.0065,0.0264,0.046
2.291767,0.0234,0.0064,0.0546,0.060
2.299061,0.0233,-0.0032,0.0589,0.063
2.302284,0.0279,0.0204,0.0490,0.060
2.305847,0.0322,0.0201,0.0486,0.062
2.311735,0.0411,0.0055,0.0529,0.067
2.316739,0.0403,-0.0089,0.0383,0.056
2.322497,0.0441,0.0194,0.0285,0.056
2.326689,0.0477,-0.0048,0.0141,0.050
2.331963,0.0609,0.0046,-0.0003,0.061
2.338053,0.0739,-0.0145,-0.0192,0.078
2.343937,0.0867,-0.0383,-0.0285,0.099
2.346509,0.0854,-0.0285,-0.0377,0.098
2.352756,0.0935,-0.0330,-0.0516,0.112
2.357232,0.0971,-0.0375,-0.0654,0.123
2.362006,0.0818,-0.0418,-0.0601,0.110
2.369826,0.0906,-0.0318,-0.0644,0.116
2.373088,0.0853,-0.0314,-0.0638,0.111
2.377201,0.0707,-0.0214,-0.0538,0.091
2.381561,0.0612,-0.0258,-0.0582,0.088
2.386355,0.0614,-0.0206,-0.0530,0.084
2.391673,0.0570,-0.0154,-0.0336,0.068
2.397577,0.0576,-0.0056,-0.0192,0.061
2.405136,0.0582,-0.0054,-0.0048,0.059
2.406248,0.0635,0.0043,0.0046,0.064
2.411470,0.0498,0.0234,0.0283,0.062
2.417656,0.0457,0.0138,0.0327,0.058
2.422828,0.0605,0.0043,0.0467,0.077
2.426202,0.0655,0.0043,0.0510,0.083
2.431595,0.0655,0.0090,0.0458,0.080
2.436764,0.0701,0.0136,0.0359,0.080
2.440972,0.0652,0.0087,0.0308,0.073
2.446368,0.0649,0.0084,0.0400,0.077
2.452011,0.0551,-0.0060,0.0159,0.058
2.456972,0.0597,0.0129,0.0015,0.061
2.462609,0.0547,0.0031,0.0062,0.055
2.467718,0.0546,0.0077,0.0014,0.055
2.472019,0.0497,0.0075,0.0157,0.053
2.477979,0.0448,0.0073,0.0108,0.047
2.482506,0.0637,-0.0072,0.0154,0.066
2.486805,0.0682,-0.0026,0.0248,0.073
2.495768,0.0630,-0.0123,0.0246,0.069
2.496482,0.0626,-0.0077,0.0149,0.065
2.505917,0.0716,-0.0077,0.0242,0.076
2.506402,0.0710,-0.0078,0.0145,0.073
2.511563,0.0799,-0.0173,0.0239,0.085
2.517426,0.0696,0.0018,0.0047,0.070
