time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.610604,0.6887,-0.3883,-0.2356,0.825
0.615921,0.5596,-0.3108,-0.3176,0.715
0.621363,0.4412,-0.2051,-0.3877,0.622
0.627341,0.3714,-0.1524,-0.3466,0.530
0.630946,0.3544,-0.0764,-0.2526,0.442
0.636039,0.3329,-0.0581,-0.1303,0.362
0.645612,0.2879,-0.0828,0.0152,0.300
0.646211,0.2147,-0.0410,0.1594,0.271
0.653463,0.2038,0.0619,0.2686,0.343
0.657564,0.1170,0.1303,0.3099,0.356
0.661522,-0.0357,0.1881,0.3029,0.358
0.664743,-0.1491,0.2257,0.2813,0.390
0.669735,-0.1760,0.2008,0.2689,0.379
0.675512,-0.1838,0.1616,0.2514,0.351
0.682354,-0.2106,0.1036,0.2955,0.377
0.686268,-0.1991,0.1031,0.2960,0.371
0.690624,-0.1926,0.1217,0.3289,0.400
0.695468,-0.2384,0.1590,0.3080,0.421
0.702764,-0.3315,0.1721,0.2434,0.446
0.705553,-0.4286,0.1802,0.1214,0.480
0.711323,-0.5344,0.1593,-0.0099,0.558
0.715829,-0.5918,0.1145,-0.1544,0.622
0.722651,-0.6060,0.0889,-0.3449,0.703
0.727942,-0.5203,0.1109,-0.4575,0.702
0.732363,-0.3783,0.1230,-0.5116,0.648
0.736712,-0.2326,0.1255,-0.4601,0.531
0.741610,-0.0596,0.0757,-0.3373,0.351
0.747882,0.0929,0.0267,-0.1868,0.210
0.752210,0.1824,0.0356,-0.0610,0.196
0.754962,0.2047,0.0258,-0.0072,0.206
0.760919,0.2269,0.0498,0.0135,0.233
0.765697,0.2299,0.0408,0.0299,0.235
0.770900,0.2329,0.0748,0.0750,0.256
0.775330,0.2692,0.1041,0.1199,0.313
0.781336,0.2766,0.1476,0.2637,0.410
0.785235,0.2696,0.2098,0.4429,0.559
0.790178,0.2008,0.2143,0.5383,0.613
0.795525,0.1183,0.1614,0.5317,0.568
0.802267,0.0268,0.0994,0.4905,0.501
0.805387,-0.1115,0.0615,0.3727,0.394
0.811002,-0.2534,0.0524,0.2175,0.338
0.815850,-0.3181,0.0479,0.0449,0.325
0.820850,-0.3300,0.0148,-0.1064,0.347
0.825394,-0.3132,-0.0562,-0.2462,0.402
0.831446,-0.2490,-0.1122,-0.3461,0.441
0.837381,-0.1615,-0.1960,-0.4114,0.483
0.847576,-0.0842,-0.2265,-0.4567,0.517
0.848258,-0.0598,-0.1803,-0.4919,0.527
0.854376,0.0167,-0.1395,-0.4789,0.499
0.855459,0.0831,-0.1987,-0.4184,0.471
0.860764,0.1631,-0.2717,-0.3295,0.457
0.865292,0.2188,-0.3439,-0.2411,0.474
0.870293,0.2598,-0.3298,-0.1628,0.450
0.875558,0.2671,-0.2254,-0.1848,0.395
0.883599,0.2982,-0.1980,-0.2257,0.423
0.885846,0.2768,-0.2516,-0.2941,0.476
0.891068,0.2318,-0.2621,-0.3564,0.499
0.895943,0.2111,-0.2627,-0.3888,0.515
0.901341,0.1858,-0.2676,-0.4008,0.517
0.906691,0.1988,-0.2720,-0.3832,0.510
0.912365,0.1833,-0.2758,-0.3027,0.449
0.915604,0.1537,-0.2504,-0.1837,0.347
0.921972,0.1245,-0.1726,-0.0647,0.222
0.925532,0.0812,-0.1331,0.0496,0.164
0.931299,0.0194,-0.0937,0.1495,0.177
0.936428,-0.0372,-0.0877,0.2442,0.262
0.943803,-0.0695,-0.0581,0.3429,0.355
0.949860,-0.0921,-0.0477,0.3883,0.402
0.954415,-0.0766,-0.0184,0.3808,0.389
0.955241,-0.1182,0.0102,0.3681,0.387
0.961209,-0.2070,0.0192,0.3314,0.391
0.966869,-0.2428,0.0608,0.3040,0.394
0.970946,-0.2356,0.0685,0.2859,0.377
0.976269,-0.2475,0.0855,0.2536,0.364
0.981691,-0.2688,0.1447,0.2357,0.386
0.986036,-0.2614,0.1795,0.2465,0.402
0.990715,-0.2208,0.1804,0.2241,0.363
0.995487,-0.1615,0.1432,0.2356,0.320
1.001791,-0.1217,0.1492,0.2761,0.337
1.006761,-0.0870,0.1313,0.2976,0.337
1.010487,-0.0905,0.1469,0.2484,0.302
1.015662,-0.1225,0.2240,0.2617,0.366
1.021476,-0.1448,0.2573,0.2750,0.403
1.027258,-0.1431,0.2471,0.3549,0.455
1.031557,-0.1224,0.1795,0.4342,0.486
1.036003,-0.0639,0.1027,0.5367,0.550
1.043952,0.0464,0.0408,0.6428,0.646
